"PID","Ethnicity","Sex.1m","Age","height","weight"
"AAD7D",2,"2",25,152,49
"AAMWG",2,"2",21,154,48
"AAHHA",2,"2",31,159,54
"AAANQ",2,"1",21,166,63
"AAGXX",2,"2",19,150,51
"AAEW4",2,"1",19,153,52
"AAA48",2,"1",14,147,43
"AAF7N",2,"2",12,132,33
"AAM2K",2,"2",9,124,27
"AAH79",2,"1",6,110,19
"AAGFV",2,"1",6,109,19
"AACY3",2,"1",4,105,17
"AAJYN",2,"1",31,157,70
"AAHJQ",2,"2",19,152,49
"AAKJJ",2,"2",25,152,50
"AAHHK",2,"1",6,114,20
"AAFMV",2,"2",50,152,43
"AAFTT",2,"2",4,96,14
"AAEHE",2,"2",34,159,60
"AAFBB",2,"1",44,162,62
"AAKC7",2,"2",17,162,63
"AAMNA",2,"2",18,147,53
"AABW3",2,"2",13,140,37
"AAJM9",2,"2",7,115,20
"AAM7D",2,"2",4,105,16
"AAM63",2,"1",2,80,11
"AAD7U",2,"1",52,163,67
"AAMAH",2,"1",17,159,60
"AAM8P",2,"1",55,165,62
"AAFKW",2,"2",48,140,35
"AABJV",2,"2",24,149,46
"AADYF",2,"2",2,84,11
"AAMZY",2,"2",8,113,19
"AAK22",2,"2",3,98,14
"AABFT",2,"2",11,136,31
"AAHPT",2,"1",12,144,35
"AAMPX",2,"2",4,93,13
"AAG9Z",2,"1",47,164.9,76.9
"AAAWU",2,"2",46,148.1,55.15
"AAKRQ",2,"2",44,147,45.55
"AACM2",2,"1",26,167.3,72.3
"AAGAQ",2,"2",28,147.7,69.25
"AABTD",2,"1",18,155.9,50.9
"AAD3C",2,"1",16,154.5,51.15
"AADWA",2,"2",19,150.5,53.1
"AAG72",2,"2",15,163.3,54.4
"AAC4Z",2,"2",11,141.2,35.95
"AAHCF",2,"2",12,132.7,29.3
"AAFN8",2,"1",8,118.6,22.6
"AAMQE",2,"2",9,117.9,20.75
"AAKUB",2,"1",5,113.4,19.7
"AAED3",2,"2",5,105.5,15
"AADRR",2,"2",8,107.1,16.45
"AAKGV",2,"2",3,95.1,13.35
"AAATX",2,"2",27,151,55.6
"AAFA7",2,"2",26,161.1,60.2
"AADTA",2,"2",6,109.6,19.15
"AABCU",2,"2",10,130.5,28.7
"AAAY8",2,"2",3,93.2,12.9
"AAHXU",2,"2",36,157.3,58.45
"AAHPW",2,"1",29,161.2,73.85
"AAMB8",2,"2",10,140.2,32.9
"AADMM",2,"2",9,130.8,35.9
"AANFC",2,"1",7,118.6,29.85
"AACHE",2,"2",5,102.7,15.65
"AAJ3W",2,"1",5,103.7,16.3
"AACRQ",2,"1",35,163.4,65.15
"AAAK7",2,"2",46,147.6,56.15
"AAKVA",2,"1",11,139.8,38
"AAHV8",2,"2",7,119.9,23.45
"AAMQ2",2,"1",3,88.4,13.05
"AAHR7",2,"1",48,162.7,58.5
"AAKM3",2,"2",57,152.2,68.1
"AAD6C",2,"1",21,170,64.8
"AAEAW",2,"2",21,149.2,50.45
"AAEMQ",2,"2",11,150.2,44
"AAGJ8",2,"1",6,118.4,21.8
"AANGB",2,"2",71,146.1,41.52
"AACEP",2,"1",24,162.3,63.6
"AAGTQ",2,"1",20,167.4,68.1
"AAJMC",2,"1",14,167.8,56.75
"AAMZQ",2,"1",65,153.4,56.2
"AAEE4",2,"1",32,158,57.05
"AAARD",2,"2",33,146.3,46.6
"AAKWK",2,"2",15,147.7,43.8
"AAEDZ",2,"1",14,137,33.85
"AAEQ2",2,"2",8,116.2,22.45
"AAJ6H",2,"1",21,166,62
"AAD27",2,"1",6,101.6,15.55
"AAAW2",2,"1",4,89,13.4
"AAG7Z",2,"1",1,66.5,6.45
"AAGXC",2,"1",38,152.7,53.25
"AAFX2",2,"2",38,152,46.65
"AANT2",2,"1",17,163.6,59.15
"AAD83",2,"2",15,151,50.15
"AAAAV",2,"1",8,118.5,23.85
"AACEH",2,"1",10,122.2,24.05
"AAK74",2,"1",5,104.2,18.35
"AADUG",2,"1",41,157.9,62.3
"AACDH",2,"2",16,145.5,44.2
"AAM66",2,"1",8,112.8,19.35
"AANXY",2,"1",19,159.1,59.15
"AAGTH",2,"2",15,148,49.05
"AAMFG",2,"1",75,155,51.45
"AABBW",2,"2",66,142.5,37.1
"AAGPP",2,"2",32,147.4,50.4
"AAEJU",2,"2",21,149.2,53.6
"AAADV",2,"2",13,149.2,41.5
"AAAUE",2,"1",8,119,23.55
"AAKGM",2,"1",4,91.1,13.7
"AAMED",2,"1",3,77.6,10.1
"AAMV8",2,"1",27,160.6,59.65
"AABRG",2,"2",37,153.8,53.5
"AACY6",2,"1",40,159.5,66.6
"AAJTF",2,"2",17,153.3,58.8
"AAKV3",2,"2",12,137.2,32.4
"AACGF",2,"1",10,131.4,29.55
"AAH3R",2,"1",4,92.1,13.4
"AAB4V",2,"2",14,152.1,60.1
"AAEC2",2,"2",9,119.5,23.9
"AAGKE",2,"1",59,154.1,48.55
"AAHQA",2,"1",25,161.8,64.7
"AAEHW",2,"2",38,153.1,47.95
"AABJV",2,"2",25,149.7,46.6
"AACGJ",2,"2",58,153.9,46.9
"AAHMC",2,"1",10,119.5,24.05
"AAJTD",2,"1",7,106.9,18.2
"AAMZY",2,"2",9,116.4,21.5
"AAK22",2,"2",4,104,16.35
"AADYF",2,"2",3,91.8,12.35
"AAF3A",2,"1",4,89.7,13.1
"AAM2K",2,"2",10,130,29.6
"AAEW4",2,"1",20,152.8,52.35
"AAKFM",2,"1",45,162.4,55.9
"AAEGT",2,"1",8,126.8,27.05
"AAF4T",2,"1",7,115,22.9
"AAM2H",2,"2",41,154,55.85
"AAADX",2,"1",3,93.5,14.55
"AAG78",2,"1",4,94.8,14.7
"AAFUM",2,"1",13,133,32.25
"AAEXB",2,"1",9,122.3,26.55
"AAHHA",2,"2",32,157.4,54.55
"AAEAR",2,"2",44,148.7,50.3
"AABMX",2,"2",6,104.1,18
"AADJ4",2,"2",7,110.9,19.15
"AADB7",2,"2",22,146.7,53.9
"AAJTT",2,"2",8,123.9,24.6
"AAJWB",2,"1",3,81.4,11
"AABP8",2,"2",13,145.9,43.05
"AAN3W",2,"2",43,149.6,52.8
"AAMQH",2,"1",14,145,38.45
"AAJT4",2,"1",12,129.8,26.7
"AAM2X",2,"1",8,115.1,21.75
"AAEM3",2,"2",3,85.6,12.05
"AANFV",2,"1",5,102.7,17.45
"AAACX",2,"2",9,115.5,26.5
"AAG4A",2,"2",11,127.4,26.15
"AAKB2",2,"1",43,162.1,65.6
"AAJTX",2,"2",7,111.6,18.9
"AABVF",2,"2",2,87.4,13.35
"AAKVC",2,"2",28,154.8,52
"AAAVF",2,"2",10,130.5,30.4
"AAHT9",2,"1",52,165.8,67.95
"AAE8V",2,"2",44,144.1,51.55
"AABWJ",2,"1",13,142.6,36.6
"AAFYW",2,"2",7,107,20.85
"AAGV4",2,"1",2,78.3,10.7
"AAFVQ",2,"2",6,107.6,19.15
"AAEV9",2,"2",9,113.7,21.2
"AAEJA",2,"2",4,93,14.5
"AAEY4",2,"2",9,112.7,22.15
"AAA9E",2,"2",8,115.6,21.15
"AAF6A",2,"1",30,162,67.25
"AAKM4",2,"2",31,144.9,51.3
"AANUZ",2,"1",37,165.3,77.05
"AABFW",2,"2",34,152.8,50.45
"AAFQ9",2,"1",17,175.4,73.25
"AAB2R",2,"2",14,147.7,52.45
"AAM8P",2,"1",56,162.9,58.4
"AAFKW",2,"2",49,138.8,34.4
"AAHPT",2,"1",13,151.5,42.75
"AAKUJ",2,"1",40,158.3,59.6
"AAGHT",2,"2",35,146.8,63.55
"AAAWC",2,"2",13,149.8,47.15
"AAHRG",2,"1",8,112.6,20.7
"AAMFE",2,"1",28,158.1,57.25
"AAH34",2,"2",40,152.8,62.05
"AAM34",2,"2",10,125.9,25.95
"AAA6R",2,"1",7,108.8,18.6
"AAFV6",2,"1",14,148.6,47.8
"AAJCN",2,"1",24,161.2,57.95
"AAKCH",2,"2",24,146.5,52
"AAGWB",2,"2",11,130.9,27.05
"AAEYD",2,"2",5,102.6,16.3
"AAGFQ",2,"1",16,154.2,54.1
"AAGAN",2,"1",16,164.1,58.3
"AAA3B",2,"1",27,160.4,61.95
"AADAC",2,"2",30,150,48.75
"AABNZ",2,"2",14,151.3,53.1
"AAJZE",2,"2",13,153,54.85
"AAMYQ",2,"2",10,127,26.1
"AAEE2",2,"2",8,112.8,20.5
"AAB43",2,"2",4,83.7,12.2
"AAMZJ",2,"2",2,73.1,8.65
"AAMYY",2,"1",17,158,65.4
"AAFG6",2,"1",2,NA,NA
"AAA37",2,"2",33,146,49.5
"AAFYC",2,"2",49,142,40.7
"AAEJ8",2,"1",31,167.5,64.3
"AAMJE",2,"1",12,137.5,35.6
"AAK86",2,"2",4,92,13.65
"AAJJZ",2,"1",52,153.6,51
"AADKB",2,"1",47,160.1,62.55
"AAB46",2,"2",46,151.2,49.05
"AAHQ7",2,"1",20,172.1,72.5
"AAF6Z",2,"2",15,157.4,55.5
"AADK7",2,"2",22,146,48.1
"AAHEY",2,"2",20,153,56.2
"AAGDP",2,"2",14,147.4,39.15
"AAKBD",2,"1",7,110,18.45
"AAE7H",2,"1",6,110,19
"AAH7W",2,"1",4,98.2,15.85
"AAF4P",2,"2",4,98.2,15.75
"AAG94",2,"1",3,86,11.6
"AAHTR",2,"2",42,147,46
"AAEAN",2,"1",20,163.5,63.8
"AAHTD",2,"1",12,134.4,31.55
"AAB2A",2,"2",10,133.8,30.1
"AAA3Q",2,"2",3,87.9,12.5
"AAKJ9",2,"2",30,147.2,50.1
"AAEXZ",2,"1",13,141.8,32.3
"AAERQ",2,"1",39,167.5,55.9
"AANGZ",2,"1",5,93.2,13.65
"AAF6C",2,"1",9,122.2,24.3
"AAMPB",2,"1",7,109.1,17.55
"AAH6F",2,"2",11,131.7,28.45
"AAJAC",2,"1",50,155.2,51.35
"AABKX",2,"1",37,160.4,56.4
"AAJF9",2,"2",45,144.1,51.1
"AANNQ",2,"1",15,152.7,51.8
"AAH4E",2,"2",11,130.3,30.45
"AAFFV",2,"2",8,109.6,20.6
"AADEK",2,"2",6,96,14.35
"AAJDK",2,"1",17,156.5,53.8
"AAEYA",2,"2",16,153.4,54
